Theme,Theme,Максимум JaccardIndex,Main theme
Dimensions,Super Heroes,0.3675564681724846,
Monster Fighters,Ninjago,0.36753100338218714,
Disney,Avengers,0.36666666666666664,
Fantasy Era,The LEGO Movie,0.3666146645865835,Castle
The Two Towers,Star Wars Episode 1,0.36650082918739635,The Lord of the Rings
The Battle of the Five Armies,Avengers,0.3657587548638132,The Hobbit
Ultimate Collector Series,Star Wars Episode 1,0.3656957928802589,Batman
Justice League,The LEGO Movie,0.36541598694942906,Super Heroes
Prince of Persia,Harry Potter,0.36363636363636365,
Harry Potter,Star Wars Clone Wars,0.3635036496350365,
Toy Story,Star Wars Episode 2,0.36288998357963875,
Guardians of the Galaxy,Star Wars Episode 1,0.36236391912908245,Super Heroes
Guardians of the Galaxy,Star Wars Clone Wars,0.36123348017621143,Super Heroes
Ultimate Collector Series,Star Wars Episode 4/5/6,0.3593073593073593,Batman
An Unexpected Journey,Teenage Mutant Ninja Turtles,0.3592814371257485,The Hobbit
Justice League,Star Wars Episode 1,0.3592233009708738,Super Heroes
Fantasy Era,Star Wars Episode 4/5/6,0.3588317107093185,Castle
Sorcerer's Stone,Harry Potter,0.358695652173913,Harry Potter
Ultimate Collector Series,The LEGO Movie,0.35864297253634897,Batman
Superman,Teenage Mutant Ninja Turtles,0.3582995951417004,Super Heroes
Superman,Avengers,0.3515625,Super Heroes
Harry Potter,Star Wars Episode 4/5/6,0.3512396694214876,
Dimensions,Elves,0.34949494949494947,
An Unexpected Journey,Avengers,0.3474088291746641,The Hobbit
Toy Story,Star Wars Episode 4/5/6,0.3462603878116344,
The Desolation of Smaug,Elves,0.34557235421166305,The Hobbit
Disney,The LEGO Movie,0.3448844884488449,
Justice League,Star Wars,0.34358288770053474,Super Heroes
The Battle of the Five Armies,The LEGO Movie,0.3431034482758621,The Hobbit
The Desolation of Smaug,Teenage Mutant Ninja Turtles,0.3416149068322981,The Hobbit
Dimensions,Spider-Man,0.34150943396226413,
Disney Princess,Star Wars Episode 1,0.3406432748538012,
SpongeBob SquarePants,Star Wars,0.3383647798742138,
The Fellowship of the Ring,Elves,0.3362637362637363,The Lord of the Rings
Guardians of the Galaxy,Ninjago,0.3344788087056128,Super Heroes
Guardians of the Galaxy,Batman,0.3313953488372093,Super Heroes
Pharaoh's Quest,Avengers,0.33079847908745247,
Guardians of the Galaxy,Star Wars Episode 4/5/6,0.33060109289617484,Super Heroes
Justice League,Star Wars Episode 4/5/6,0.3304964539007092,Super Heroes
The Two Towers,Star Wars Clone Wars,0.32978723404255317,The Lord of the Rings
Ultimate Collector Series,Star Wars,0.32938076416337286,Batman
An Unexpected Journey,Star Wars Episode 3,0.3290676416819013,The Hobbit
SpongeBob SquarePants,Batman,0.32878270762229805,
Minecraft,Star Wars Episode 2,0.32867132867132864,
Minecraft,The LEGO Movie,0.3283582089552239,
The Fellowship of the Ring,Teenage Mutant Ninja Turtles,0.3270440251572327,The Lord of the Rings
Disney Princess,Star Wars,0.32598039215686275,
The Return of the King,Teenage Mutant Ninja Turtles,0.3259109311740891,The Lord of the Rings
The Two Towers,Star Wars Episode 4/5/6,0.32471264367816094,The Lord of the Rings
Harry Potter,Batman,0.32413793103448274,
Disney Princess,Ninjago,0.3238199780461032,
Sorcerer's Stone,SpongeBob SquarePants,0.3230769230769231,Harry Potter
An Unexpected Journey,The LEGO Movie,0.3225806451612903,The Hobbit
Dimensions,Avengers,0.32222222222222224,
SpongeBob SquarePants,Ninjago,0.32146829810901,
Disney Princess,Star Wars Clone Wars,0.32060027285129605,
Disney Princess,Batman,0.3192436040044494,
The Battle of the Five Armies,Star Wars Episode 1,0.31871838111298484,The Hobbit
Fantasy Era,Star Wars,0.3181818181818182,Castle
The Return of the King,Avengers,0.31773879142300193,The Lord of the Rings
Toy Story,Batman,0.31682027649769584,
Toy Story,Star Wars,0.31518987341772153,
Harry Potter,Star Wars,0.31493099121706397,
Prince of Persia,Pirates of the Caribbean,0.314214463840399,
Toy Story,Ninjago,0.3126410835214447,
Superman,The LEGO Movie,0.3122866894197952,Super Heroes
An Unexpected Journey,Star Wars Episode 1,0.31208053691275167,The Hobbit
Justice League,Batman,0.3108747044917258,Super Heroes
Justice League,Ninjago,0.30974477958236657,Super Heroes
Fantasy Era,Ninjago,0.3094170403587444,Castle
Ultimate Collector Series,Batman,0.30941176470588233,Batman
Fantasy Era,Batman,0.3090079817559863,Castle
Disney,Star Wars Episode 1,0.3088,
Pharaoh's Quest,Star Wars Episode 1,0.3087248322147651,
The Two Towers,Star Wars,0.30647291941875826,The Lord of the Rings
Harry Potter,Ninjago,0.303670745272525,
Minecraft,Star Wars Episode 1,0.30307941653160453,
Pharaoh's Quest,Star Wars Episode 2,0.30265486725663715,
Ultimate Collector Series,Ninjago,0.3008036739380023,Batman
The Return of the King,The LEGO Movie,0.3005181347150259,The Lord of the Rings
The Two Towers,Ninjago,0.3002336448598131,The Lord of the Rings
Disney Princess,Star Wars Episode 4/5/6,0.29961587708066584,
Dimensions,The LEGO Movie,0.2967213114754098,
The Desolation of Smaug,The LEGO Movie,0.2951388888888889,The Hobbit
Pharaoh's Quest,The LEGO Movie,0.295,
Minecraft,Star Wars Clone Wars,0.2934947049924357,
The Battle of the Five Armies,Star Wars Clone Wars,0.29347826086956524,The Hobbit
Iron Man,Avengers,0.2934131736526946,Super Heroes
The Two Towers,Batman,0.29043683589138136,The Lord of the Rings
Disney,Star Wars,0.28833551769331583,
Superman,Star Wars Episode 1,0.2866666666666667,Super Heroes
Disney,Star Wars Episode 4/5/6,0.28651685393258425,
The Return of the King,Star Wars Episode 1,0.2857142857142857,The Lord of the Rings
Disney,Ninjago,0.2842227378190255,
An Unexpected Journey,Star Wars Clone Wars,0.2835130970724191,The Hobbit
Chamber of Secrets,Spider-Man,0.2832699619771863,Harry Potter
Pharaoh's Quest,Star Wars Clone Wars,0.2824074074074074,
Minecraft,Star Wars,0.28174603174603174,
The Battle of the Five Armies,Star Wars Episode 4/5/6,0.27906976744186046,The Hobbit
Superman,Star Wars Clone Wars,0.2779503105590062,Super Heroes
Order of the Phoenix,Fantasy Era,0.27627627627627627,Harry Potter
An Unexpected Journey,Star Wars Episode 4/5/6,0.2753623188405797,The Hobbit
Order of the Phoenix,SpongeBob SquarePants,0.27507163323782235,Harry Potter
Disney,Batman,0.27432590855803046,
The Desolation of Smaug,Star Wars Episode 1,0.27380952380952384,The Hobbit
The Fellowship of the Ring,The LEGO Movie,0.2735191637630662,The Lord of the Rings
The Battle of the Five Armies,Star Wars,0.2728494623655914,The Hobbit
Minecraft,Star Wars Episode 4/5/6,0.27221438645980256,
Goblet of Fire,Star Wars Episode 3,0.27102803738317754,Harry Potter
Prisoner of Azkaban,Star Wars Episode 1,0.2692307692307692,Harry Potter
Pharaoh's Quest,Star Wars Episode 4/5/6,0.26878612716763006,
Ultimate Collector Series,Star Wars Episode 3,0.2676864244741874,Star Wars
Ultimate Collector Series,Star Wars Episode 2,0.2669172932330827,Star Wars
Chamber of Secrets,Star Wars Episode 2,0.26595744680851063,Harry Potter
Iron Man,Star Wars Episode 2,0.2643253234750462,Super Heroes
Goblet of Fire,Star Wars Episode 2,0.263254113345521,Harry Potter
Prisoner of Azkaban,Star Wars Episode 2,0.26325088339222613,Harry Potter
Minecraft,Batman,0.26235294117647057,
Minecraft,Ninjago,0.26212471131639725,
The Return of the King,Star Wars Clone Wars,0.2589703588143526,The Lord of the Rings
Iron Man,The LEGO Movie,0.2564991334488735,Super Heroes
An Unexpected Journey,Star Wars,0.25596816976127323,The Hobbit
Goblet of Fire,Star Wars Episode 1,0.25426621160409557,Harry Potter
The Desolation of Smaug,Star Wars Clone Wars,0.25391849529780564,The Hobbit
Prisoner of Azkaban,Star Wars Clone Wars,0.25386996904024767,Harry Potter
Chamber of Secrets,Star Wars Episode 1,0.2528925619834711,Harry Potter
The Battle of the Five Armies,Ninjago,0.25263157894736843,The Hobbit
